i,year,precipitation
1,1981,1627
2,1982,1499
3,1983,1504
4,1984,1656
5,1985,1563
6,1986,1556
7,1987,1493
8,1988,1505
9,1989,1557
10,1990,1643
11,1991,1416
12,1992,1447
13,1993,1398
14,1994,1679
15,1995,1562
16,1996,1675
17,1997,1479
18,1998,1467
19,1999,1698
20,2000,1774
21,2001,1630
22,2002,1684
23,2003,1497
24,2004,1604
25,2005,1636
26,2006,1635
27,2007,1711
28,2008,1729
29,2009,1699
30,2010,1637
31,2011,1821
32,2012,1621
33,2013,1735
34,2014,1576
35,2015,1378
36,2016,1712
37,2017,1831
38,2018,1670
39,2019,1390
